,Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
1040,8,0.8628950119018555,80.75341322616536,2019-01-02 08:00:00,2019-01-02,Wednesday,0,4.3,0.4,10.682692269358972,56.11353496260924
1041,9,0.0,146.93206156610555,2019-01-02 09:00:00,2019-01-02,Wednesday,0,4.3,0.4,13.772820499999998,115.45196466203838
1042,10,10.0,121.13151462480087,2019-01-02 10:00:00,2019-01-02,Wednesday,0,4.3,0.4,23.574230782051288,81.57072546511846
1043,11,0.1826786994934082,295.2497658924404,2019-01-02 11:00:00,2019-01-02,Wednesday,0,4.3,0.4,28.29641039743591,173.12875842275227
1044,12,1.2735810279846191,239.38818512832248,2019-01-02 12:00:00,2019-01-02,Wednesday,0,4.3,0.4,27.88987164102565,196.31100166582226
1045,13,10.0,216.40847235851783,2019-01-02 13:00:00,2019-01-02,Wednesday,0,4.3,0.4,30.10294885897436,254.27808854460446
1046,14,10.0,431.415046462088,2019-01-02 14:00:00,2019-01-02,Wednesday,0,4.3,0.4,28.945896025641037,334.89079802405917
1047,15,10.0,313.9840704077405,2019-01-02 15:00:00,2019-01-02,Wednesday,0,4.3,0.4,30.78487307692308,331.42978689563364
1048,16,0.0,317.5951041835744,2019-01-02 16:00:00,2019-01-02,Wednesday,0,4.3,0.4,28.57807692307692,259.34989698503017
1049,17,0.0,186.64489597236968,2019-01-02 17:00:00,2019-01-02,Wednesday,0,4.3,0.4,33.72666666666667,146.46218153961755
1050,8,4.64951229095459,72.35149899738406,2019-01-03 08:00:00,2019-01-03,Thursday,0,4.3,0.4,8.531474358974357,50.06653317388132
1051,9,0.0,152.48337821637475,2019-01-03 09:00:00,2019-01-03,Thursday,0,4.3,0.4,11.331923076923074,107.05077249773285
1052,10,10.0,129.11999852375234,2019-01-03 10:00:00,2019-01-03,Thursday,0,4.3,0.4,26.189486910256413,83.03532077168192
1053,11,9.99012565612793,132.02136363957015,2019-01-03 11:00:00,2019-01-03,Thursday,0,4.3,0.4,29.64820411525641,173.41390719436276
1054,12,9.999953269958496,93.20591024343432,2019-01-03 12:00:00,2019-01-03,Thursday,0,4.3,0.4,29.592628205128197,126.06162047500445
1055,13,9.999917984008787,213.54038948095933,2019-01-03 13:00:00,2019-01-03,Thursday,0,4.3,0.4,30.13596256410257,232.03698798318268
1056,14,10.0,392.08957714304563,2019-01-03 14:00:00,2019-01-03,Thursday,0,4.3,0.4,30.004745256410256,324.72048089708437
1057,15,9.944306373596193,320.6859014136336,2019-01-03 15:00:00,2019-01-03,Thursday,0,4.3,0.4,34.311729487307694,312.24260649859536
1058,16,0.0,341.0501241016569,2019-01-03 16:00:00,2019-01-03,Thursday,0,4.3,0.4,31.939422948717947,242.9700935557631
1059,17,0.0,192.726672535121,2019-01-03 17:00:00,2019-01-03,Thursday,0,4.3,0.4,30.698589743589743,132.90383704549689
1060,8,8.559599876403809,72.53280693710289,2019-01-04 08:00:00,2019-01-04,Friday,0,4.3,0.4,7.930641000000001,66.22980878931166
1061,9,0.0,158.4711777381431,2019-01-04 09:00:00,2019-01-04,Friday,0,4.3,0.4,10.78589743602564,139.92246581997958
1062,10,10.0,137.73074539098258,2019-01-04 10:00:00,2019-01-04,Friday,0,4.3,0.4,18.938846153846157,104.02098586091549
1063,11,0.786067008972168,302.9158703035256,2019-01-04 11:00:00,2019-01-04,Friday,0,4.3,0.4,22.847948717948714,232.1806358065836
1064,12,9.992158889770508,107.5099621709536,2019-01-04 12:00:00,2019-01-04,Friday,0,4.3,0.4,26.524358974358968,159.01887256375582
1065,13,9.9993896484375,227.5819606675205,2019-01-04 13:00:00,2019-01-04,Friday,0,4.3,0.4,24.31500001282052,252.0044052378317
1066,14,10.0,411.9220419872303,2019-01-04 14:00:00,2019-01-04,Friday,0,4.3,0.4,25.474807807692304,383.7497196369511
1067,15,9.997885704040527,317.0942945749516,2019-01-04 15:00:00,2019-01-04,Friday,0,4.3,0.4,26.893204987179484,346.2419937909627
1068,16,0.0,337.8441263520201,2019-01-04 16:00:00,2019-01-04,Friday,0,4.3,0.4,26.57064103846153,300.209207035029
1069,17,0.0,201.61455055874225,2019-01-04 17:00:00,2019-01-04,Friday,0,4.3,0.4,26.405970256410257,181.77206448347482
1070,8,10.0,108.40671116797691,2019-01-05 08:00:00,2019-01-05,Saturday,0,4.3,0.4,6.560512782179488,50.32577788702514
1071,9,0.0,227.05629566107814,2019-01-05 09:00:00,2019-01-05,Saturday,0,4.3,0.4,6.4612820769230765,114.7046373715204
1072,10,10.0,183.12401252267043,2019-01-05 10:00:00,2019-01-05,Saturday,0,4.3,0.4,6.5220512948717975,87.60920027130472
1073,11,9.988718032836914,216.85316113283162,2019-01-05 11:00:00,2019-01-05,Saturday,0,4.3,0.4,7.012564089743588,178.74356980438142
1074,12,9.842592239379883,146.3406529399612,2019-01-05 12:00:00,2019-01-05,Saturday,0,4.3,0.4,10.323203846153849,112.91033461131799
1075,13,10.0,301.75683464971627,2019-01-05 13:00:00,2019-01-05,Saturday,0,4.3,0.4,8.487565384615385,213.2186457821373
1076,14,10.0,517.071829184504,2019-01-05 14:00:00,2019-01-05,Saturday,0,4.3,0.4,10.878719089743589,329.9692099358056
1077,15,10.0,437.2689301363214,2019-01-05 15:00:00,2019-01-05,Saturday,0,4.3,0.4,10.176409115384617,279.878608546557
1078,16,0.0,464.44793223151817,2019-01-05 16:00:00,2019-01-05,Saturday,0,4.3,0.4,11.0275641025641,254.75396182246726
1079,17,0.0,275.2636840892464,2019-01-05 17:00:00,2019-01-05,Saturday,0,4.3,0.4,11.056923076923082,141.88321933238845
1080,8,9.403788566589355,54.57501772703717,2019-01-06 08:00:00,2019-01-06,Sunday,0,4.3,0.4,6.526794897435898,53.73442831306389
1081,9,0.0,132.52086345331318,2019-01-06 09:00:00,2019-01-06,Sunday,0,4.3,0.4,6.1715384615384625,149.67717757832025
1082,10,10.0,112.83996515133956,2019-01-06 10:00:00,2019-01-06,Sunday,0,4.3,0.4,6.655641012820514,102.31547183144377
1083,11,4.626889705657959,195.15010237506766,2019-01-06 11:00:00,2019-01-06,Sunday,0,4.3,0.4,6.773974371794873,199.2977839096825
1084,12,9.999996185302734,86.35694275201142,2019-01-06 12:00:00,2019-01-06,Sunday,0,4.3,0.4,7.644743602564103,193.07271554446072
1085,13,9.999979019165039,191.13640387344597,2019-01-06 13:00:00,2019-01-06,Sunday,0,4.3,0.4,7.025129461538459,255.18599775868236
