Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
16,0.0,316.3831713895297,2021-04-07 16:00:00,2021-04-07,Wednesday,0,2.53,1.98,28.578076923076917,267.58841639361566
17,0.0,181.1953508613363,2021-04-07 17:00:00,2021-04-07,Wednesday,0,2.53,1.98,33.72666666666667,94.08771848877102
8,0.27434682846069336,103.75096835010314,2021-04-08 08:00:00,2021-04-08,Thursday,0,2.53,1.98,8.531474358974357,85.94358473463372
9,0.0,163.67289968564896,2021-04-08 09:00:00,2021-04-08,Thursday,0,2.53,1.98,11.331923076923076,152.08939339361578
10,10.0,131.02875322356186,2021-04-08 10:00:00,2021-04-08,Thursday,0,2.53,1.98,26.189486910256417,117.28921893226861
11,2.959195852279663,268.6830210917792,2021-04-08 11:00:00,2021-04-08,Thursday,0,2.53,1.98,29.64820411525641,239.61697282611848
12,10.0,101.23246046479994,2021-04-08 12:00:00,2021-04-08,Thursday,0,2.53,1.98,29.592628205128197,187.07304856741902
13,4.673004150390625e-05,368.2041029321789,2021-04-08 13:00:00,2021-04-08,Thursday,0,2.53,1.98,30.13596256410257,258.5255267550356
14,10.0,422.24853157696725,2021-04-08 14:00:00,2021-04-08,Thursday,0,2.53,1.98,30.004745256410256,425.0208281352723
15,9.999600410461426,323.93606860222326,2021-04-08 15:00:00,2021-04-08,Thursday,0,2.53,1.98,34.311729487307694,339.5611859137767
16,0.0,335.52580548712115,2021-04-08 16:00:00,2021-04-08,Thursday,0,2.53,1.98,31.939422948717947,300.7109061954132
17,8.560159683227539,96.06955971541015,2021-04-08 17:00:00,2021-04-08,Thursday,0,2.53,1.98,30.698589743589746,152.008637187758
8,9.139354705810547,0.0,2021-04-09 08:00:00,2021-04-09,Friday,1,2.53,1.98,7.930641000000001,68.97589433391268
9,0.0,4.411747503587042,2021-04-09 09:00:00,2021-04-09,Friday,1,2.53,1.98,10.78589743602564,125.86004365572732
10,10.0,0.0,2021-04-09 10:00:00,2021-04-09,Friday,1,2.53,1.98,18.938846153846153,88.69151622241178
11,0.9442982673645021,0.8769763606730976,2021-04-09 11:00:00,2021-04-09,Friday,1,2.53,1.98,22.847948717948714,188.0483130260634
12,0.0,3.2200167941292666,2021-04-09 12:00:00,2021-04-09,Friday,1,2.53,1.98,26.524358974358975,151.71149762353068
13,3.992556810379028,17.30665555038991,2021-04-09 13:00:00,2021-04-09,Friday,1,2.53,1.98,24.315000012820516,244.7622763676026
14,0.0,29.520246046866276,2021-04-09 14:00:00,2021-04-09,Friday,1,2.53,1.98,25.474807807692304,367.1557958374367
15,9.9998779296875,17.784200928336436,2021-04-09 15:00:00,2021-04-09,Friday,1,2.53,1.98,26.893204987179484,294.5953945840458
16,0.0,14.154344510963929,2021-04-09 16:00:00,2021-04-09,Friday,1,2.53,1.98,26.57064103846153,245.89035090750767
17,10.0,4.783292543656081,2021-04-09 17:00:00,2021-04-09,Friday,1,2.53,1.98,26.405970256410257,104.75775802858497
8,1.434009075164795,72.0040402726719,2021-04-10 08:00:00,2021-04-10,Saturday,0,2.53,1.98,6.5605127821794875,94.99143514726853
9,0.0,116.36666083604447,2021-04-10 09:00:00,2021-04-10,Saturday,0,2.53,1.98,6.4612820769230765,150.17716439489865
10,10.0,91.61631188696697,2021-04-10 10:00:00,2021-04-10,Saturday,0,2.53,1.98,6.5220512948717975,110.6374729037624
