0,y,v_learning,weekly_poll,pre_survey,points,email_indicator,out_of_office
0.20333333333333334,0.0,0.0,1.67,2.99,,0.0,0.0
0.0866666666666667,0.02,0.02,1.67,2.99,,0.0,0.0
0.02666666666666667,0.0,0.0,1.67,2.99,,0.0,0.0
0.21333333333333335,0.0,0.0,1.67,2.99,,0.0,0.0
0.10666666666666663,0.0,0.0,1.67,2.99,,0.0,0.0
0.10666666666666663,0.0,0.0,1.67,2.99,2.7318707,0.0,0.0
0.08666666666666675,0.02,0.02,1.67,2.99,1.8941174,0.0,0.0
0.10666666666666663,0.0,0.0,1.67,2.99,5.1139874,0.0,0.0
0.10333333333333336,0.0,0.0,1.67,2.99,0.9630227,0.0,0.0
0.10666666666666663,0.0,0.0,1.67,2.99,5.792185,0.0,0.0
0.02666666666666677,0.07999999999999999,0.07999999999999999,1.67,2.99,1.3175128,0.0,0.0
0.08666666666666645,0.02000000000000001,0.02000000000000001,1.67,2.99,7.753053,0.0,0.0
-49.71,49.71,49.71,1.67,2.99,8.049406,0.0,0.0
0.2133333333333335,0.0,0.0,1.67,2.99,2.360952,0.0,0.0
-144.15666666666672,144.26000000000005,144.26000000000005,1.67,2.99,4.4719434,0.0,0.0
-1.3666666666666654,1.4699999999999989,1.4699999999999989,1.67,2.99,,0.0,0.0
-1.2799999999999967,1.4099999999999966,1.4099999999999966,1.67,2.99,,0.0,0.0
-1.3299999999999974,1.4399999999999975,1.4399999999999975,1.67,2.99,,0.0,0.0
-1.3533333333333128,1.4599999999999795,1.4599999999999795,1.67,2.99,,0.0,0.0
-1.3066666666666915,1.410000000000025,1.410000000000025,1.67,2.99,,0.0,0.0
-1.3266666666666451,1.4299999999999784,1.4299999999999784,1.67,2.99,,0.0,0.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.10666666666666667,0.0,,1.67,2.99,,0.0,1.0
-1.336666666666667,1.44,1.44,1.67,2.99,,0.0,1.0
-1.316666666666667,1.4400000000000004,1.4400000000000004,1.67,2.99,,0.0,1.0
0.08666666666666713,0.01999999999999957,0.01999999999999957,1.67,2.99,,0.0,1.0
-2.7333333333333343,2.890000000000001,2.890000000000001,1.67,2.99,,0.0,1.0
-1.3266666666666662,1.4399999999999995,1.4399999999999995,1.67,2.99,,0.0,1.0
-1.3066666666666662,1.4399999999999995,1.4399999999999995,1.67,2.99,,0.0,1.0
-1.3100000000000014,1.4400000000000013,1.4400000000000013,1.67,2.99,1.0144949,0.0,1.0
-1.3366666666666662,1.4399999999999995,1.4399999999999995,1.67,2.99,6.432011,0.0,1.0
-1.3566666666666658,1.459999999999999,1.459999999999999,1.67,2.99,8.168476,0.0,1.0
-1.4166666666666683,1.5200000000000014,1.5200000000000014,1.67,2.99,6.478405,0.0,1.0
-1.3566666666666658,1.459999999999999,1.459999999999999,1.67,2.99,1.2791407,0.0,1.0
-1.3533333333333342,1.4600000000000009,1.4600000000000009,1.67,2.99,5.678406,0.0,1.0
0.0,0.0,0.0,1.67,2.99,2.9864497,0.0,1.0
-2.6833333333333345,2.890000000000001,2.890000000000001,1.67,2.99,7.6478615,0.0,1.0
-1.3666666666666656,1.4699999999999989,1.4699999999999989,1.67,2.99,3.9412024,0.0,1.0
0.11000000000000004,0.0,0.0,1.67,2.99,3.2850504,0.0,1.0
-1.3399999999999994,1.4499999999999993,1.4499999999999993,1.67,2.99,,0.0,1.0
-2.776666666666665,2.879999999999999,2.879999999999999,1.67,2.99,,0.0,1.0
-1.3066666666666686,1.4200000000000017,1.4200000000000017,1.67,2.99,,0.0,1.0
0.04666666666666803,0.05999999999999873,0.05999999999999873,1.67,2.99,,0.0,1.0
-2.680000000000001,2.830000000000002,2.830000000000002,1.67,2.99,,0.0,1.0
-0.8066666666666634,0.9099999999999966,0.9099999999999966,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,4.28,2.99,,0.0,0.0
0.03666666666666667,0.07,0.07,4.28,2.99,,0.0,0.0
0.10333333333333332,0.0,0.0,4.28,2.99,,0.0,0.0
0.10333333333333332,0.0,0.0,4.28,2.99,,0.0,0.0
0.10333333333333336,0.0,0.0,4.28,2.99,,0.0,0.0
0.10333333333333336,0.0,0.0,4.28,2.99,,0.0,0.0
0.14,0.0,0.0,4.28,2.99,,0.0,0.0
0.02666666666666663,0.07999999999999999,0.07999999999999999,4.28,2.99,,0.0,0.0
0.12666666666666676,0.0,0.0,4.28,2.99,0.7679229,0.0,0.0
0.10666666666666663,0.0,0.0,4.28,2.99,1.7847717,0.0,0.0
-72.55332999999997,78.61999999999998,78.61999999999998,4.28,2.99,1.9823246,0.0,0.0
-44.56998666666666,76.11,76.11,4.28,2.99,2.0476518,0.0,0.0
-55.86666666666667,61.72,61.72,4.28,2.99,2.2862341,0.0,0.0
-41.393333333333324,65.17999999999998,65.17999999999998,4.28,2.99,0.14449263,0.0,0.0
-17.136700000000047,26.380000000000052,26.380000000000052,4.28,2.99,0.35882425,0.0,0.0
-49.3833,88.32,88.32,4.28,2.99,8.449842,0.0,0.0
