,Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
4437,15,9.94212532043457,357.6190341206795,2019-12-07 15:00:00,2019-12-07,Saturday,0,4.82,3.32,10.176409115384617,251.12901126808612
4438,16,0.0,377.5107312703112,2019-12-07 16:00:00,2019-12-07,Saturday,0,4.82,3.32,11.0275641025641,265.81338157170933
4439,17,9.999994277954102,67.73851587565714,2019-12-07 17:00:00,2019-12-07,Saturday,0,4.82,3.32,11.056923076923082,95.68285957046301
4440,8,9.999574661254883,68.95691835380714,2019-12-08 08:00:00,2019-12-08,Sunday,0,4.82,3.32,6.526794897435898,52.207870292414825
4441,9,0.0,181.3440942382969,2019-12-08 09:00:00,2019-12-08,Sunday,0,4.82,3.32,6.1715384615384625,119.53807503547766
4442,10,10.0,102.5702620204159,2019-12-08 10:00:00,2019-12-08,Sunday,0,4.82,3.32,6.655641012820514,92.24358975160513
4443,11,9.578516006469727,133.11087994809893,2019-12-08 11:00:00,2019-12-08,Sunday,0,4.82,3.32,6.773974371794873,233.34095500957338
4444,12,0.0,195.7066091581614,2019-12-08 12:00:00,2019-12-08,Sunday,0,4.82,3.32,7.644743602564103,66.90660168075746
4445,13,10.0,171.15256940873502,2019-12-08 13:00:00,2019-12-08,Sunday,0,4.82,3.32,7.025129461538459,168.31741855020115
4446,14,10.0,366.32955340740267,2019-12-08 14:00:00,2019-12-08,Sunday,0,4.82,3.32,7.214229512820514,360.49329439596494
4447,15,0.0,375.34415845927236,2019-12-08 15:00:00,2019-12-08,Sunday,0,4.82,3.32,7.133589743589742,328.76544472992424
4448,16,0.0,291.3253636983688,2019-12-08 16:00:00,2019-12-08,Sunday,0,4.82,3.32,5.554230756410253,277.25690096732245
4449,17,1.8340792655944824,135.83080681092574,2019-12-08 17:00:00,2019-12-08,Sunday,0,4.82,3.32,7.786860256410253,129.93316522706445
4450,8,2.10711669921875,99.02962764702083,2019-12-09 08:00:00,2019-12-09,Monday,0,4.82,0.28,5.949807653846152,66.5451876011882
4451,9,0.0,162.00799110091552,2019-12-09 09:00:00,2019-12-09,Monday,0,4.82,0.28,11.048076935897436,133.88596479730248
